Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),dataset,row_number,quality_issues,Work,Work ID,IDA,Hon'ble Members of Parliament,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ ),Calamity Type,Calamity Name,Date of Consent,Consent Amount ( ₹ ),Work Category,Work Description,Image,Completion Date,Amount Disbursed ( ₹ ),Work category,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status,WORK,Elected/Nominated,RECOMMENDED AMOUNT   ( ₹ )
6772,Telangana,,NIZAMABAD,,Works Completed.csv,6773,MISSING_OR_BLANK,WS/MP761/2025-2026/149046-Construction of community centers and community halls,,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,"Construction of Community hall in Kummari Wada Ward No 10 , Lingampet, Jagtial town",,19-Aug-25,349820,,,,,,,,,
6773,Telangana,,NIZAMABAD,,Works Completed.csv,6774,MISSING_OR_BLANK,WS/MP761/2025-2026/187514-Construction of community centers and community halls,,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,"Construction of community hall in Vishwabrahmana Wada in Ward no 2, Raikal",,19-Aug-25,350000,,,,,,,,,
6779,Telangana,,NIZAMABAD,,Works Completed.csv,6780,MISSING_OR_BLANK,WS/MP761/2025-2026/153945-Construction of community centers and community halls,,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Community hall in Munnurukapu wada,,19-Aug-25,350000,,,,,,,,,
6780,West Bengal,,DIAMOND HARBOUR,,Works Completed.csv,6781,MISSING_OR_BLANK,"WS/MP423/2024-2025/138826-Construction of roads, link roads, pathways or any other road with or without drainage system",,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,,,,,,,,,Normal/Others,"Construction of CC road from H/O Pulak Majee to H/O Laltu Majee, at Sansad VII. (71 mtr)",,09-Jul-25,193551,,,,,,,,,
6782,West Bengal,,DIAMOND HARBOUR,,Works Completed.csv,6783,MISSING_OR_BLANK,"WS/MP423/2024-2025/138828-Construction of roads, link roads, pathways or any other road with or without drainage system",,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,,,,,,,,,Normal/Others,Construction of protection wall near pond of Rahaman Molla. (40 mtr),,09-Jul-25,198906,,,,,,,,,
6783,West Bengal,,DIAMOND HARBOUR,,Works Completed.csv,6784,MISSING_OR_BLANK,"WS/MP423/2024-2025/138841-Construction of roads, link roads, pathways or any other road with or without drainage system",,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,,,,,,,,,Normal/Others,Construction of CC Road from H/O Mrityunjay Mandal to H/O Ranjit Mondal at South bawali. (40 mtr),,09-Jul-25,93262,,,,,,,,,
6787,Telangana,,NIZAMABAD,,Works Completed.csv,6788,MISSING_OR_BLANK,WS/MP761/2025-2026/159601-Development of public parks,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Developement of Public Park in Sri Sailaxmi nagar,,08-May-25,400000,,,,,,,,,
6788,West Bengal,,DIAMOND HARBOUR,,Works Completed.csv,6789,MISSING_OR_BLANK,"WS/MP423/2024-2025/138279-Construction of roads, link roads, pathways or any other road with or without drainage system",,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,,,,,,,,,Normal/Others,Construction of CC Road from Deshbandhu Club to H/O Subhas Mallick at Chakparan.(167 mtr),,09-Jul-25,389748,,,,,,,,,
6790,West Bengal,,DIAMOND HARBOUR,,Works Completed.csv,6791,MISSING_OR_BLANK,"WS/MP423/2024-2025/138278-Construction of roads, link roads, pathways or any other road with or without drainage system",,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,,,,,,,,,Normal/Others,Construction of PCC Road with Pilling from H/O Mahadeb Mondal to H/O Pradip Mondal. (111 mtr),,09-Jul-25,397308,,,,,,,,,
6794,Bihar,,BUXAR,,Works Completed.csv,6795,MISSING_OR_BLANK,WS/MP18032/2024-2025/134035-Development of public parks,,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),SUDHAKAR SINGH,,,,,,,,,Normal/Others,Construction of Entry and Exit gates at Mahuwar stadium park,,07-Feb-26,966987,,,,,,,,,
6802,West Bengal,,DIAMOND HARBOUR,,Works Completed.csv,6803,MISSING_OR_BLANK,"WS/MP423/2024-2025/138280-Construction of roads, link roads, pathways or any other road with or without drainage system",,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,,,,,,,,,Normal/Others,Construction of CC Road from H/O Basudeb Mistry to H/O Mithu Mondal. (42 mtr),,09-Jul-25,200047,,,,,,,,,
6821,Meghalaya,,TURA,,Works Completed.csv,6822,MISSING_OR_BLANK,WS/MP18309/2025-2026/157963-Construction of footpaths and pedestrian ways,,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,,,,,,,,,Normal/Others,construction of footpath earth work at different places,,25-Feb-26,150000,,,,,,,,,
6822,Meghalaya,,TURA,,Works Completed.csv,6823,MISSING_OR_BLANK,WS/MP18309/2025-2026/157980-Construction of footpaths and pedestrian ways,,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,,,,,,,,,Normal/Others,construction of footpath earth work at different places,,25-Feb-26,150000,,,,,,,,,
6829,Meghalaya,,TURA,,Works Completed.csv,6830,MISSING_OR_BLANK,WS/MP18309/2025-2026/157956-Construction of footpaths and pedestrian ways,,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,,,,,,,,,Normal/Others,construction of footpath earth work at different places,,25-Feb-26,150000,,,,,,,,,
6831,Meghalaya,,TURA,,Works Completed.csv,6832,MISSING_OR_BLANK,WS/MP18309/2025-2026/157967-Construction of footpaths and pedestrian ways,,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,,,,,,,,,Normal/Others,construction of footpath earth work at different places,,25-Feb-26,150000,,,,,,,,,
6836,Punjab,,AMRITSAR,,Works Completed.csv,6837,MISSING_OR_BLANK,WS/MP381/2024-2025/164564-Construction of community centers and community halls,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Repair and Renovation,CONSTRUCTION OF DHARAMSHALA,,08-Jan-26,193178,,,,,,,,,
6837,Punjab,,AMRITSAR,,Works Completed.csv,6838,MISSING_OR_BLANK,WS/MP381/2024-2025/164558-Construction of community centers and community halls,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,CONSTRUCTION OF DHARAMSHALA,,08-Jan-26,200000,,,,,,,,,
6838,Punjab,,AMRITSAR,,Works Completed.csv,6839,MISSING_OR_BLANK,"WS/MP381/2024-2025/164556-Construction of roads, link roads, pathways or any other road with or without drainage system",,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,INSTALLATION OF INTERLOCKING TILES,,08-Jan-26,143386,,,,,,,,,
6839,Punjab,,AMRITSAR,,Works Completed.csv,6840,MISSING_OR_BLANK,WS/MP381/2025-2026/184745-Lighting of public spaces,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR PROVIDING AND FIXING HANGING SPEAKER MAKE AHUJA COMPLETE 1.5 MM CABLE WIRES,,14-Oct-25,485873,,,,,,,,,
6840,Punjab,,AMRITSAR,,Works Completed.csv,6841,MISSING_OR_BLANK,WS/MP381/2025-2026/184743-Construction of road under bridge,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR PROVIDING AND FIXING MS GRILL WORKS,,23-Jun-25,500000,,,,,,,,,
6841,Bihar,,JHANJHARPUR,,Works Completed.csv,6842,MISSING_OR_BLANK,WS/MP423/2024-2025/136935-Installing community drinking water plants,,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal,,,,,,,,,Normal/Others,babubarhi block ke ward no 7 sthith lakeshmeshwar jha ghar ke najdik samarsebal pump ka adisthapan karya.,,09-May-25,173477,,,,,,,,,
6843,Punjab,,AMRITSAR,,Works Completed.csv,6844,MISSING_OR_BLANK,WS/MP381/2025-2026/184740-Construction of road under bridge,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR CONSTRUCTION OF BRICK WALLS,,23-Jun-25,500000,,,,,,,,,
6844,Punjab,,AMRITSAR,,Works Completed.csv,6845,MISSING_OR_BLANK,WS/MP381/2025-2026/184738-Construction of road under bridge,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR CONSTRUCTION OF BRICK WALLS,,23-Jun-25,500000,,,,,,,,,
6845,Punjab,,AMRITSAR,,Works Completed.csv,6846,MISSING_OR_BLANK,WS/MP381/2025-2026/184699-Lighting of public spaces,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR CIVIL WORK PROVIDING AND FIXING FANCY LIGHTS POLE 4.5 MT WITH RING M.S TEMP PLATE 3 MM GROBE LIGHT 50 METTPU PAINT AND GOLDEN COLOUR COMPLETE JOB,,07-Jul-25,500000,,,,,,,,,
6847,Punjab,,AMRITSAR,,Works Completed.csv,6848,MISSING_OR_BLANK,WS/MP381/2025-2026/184698-Lighting of public spaces,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR CIVIL WORK PROVIDING AND FIXING FANCY LIGHTS POLE 4.5 MT WITH RING M.S TEMP PLATE 3 MM GROBE LIGHT 50 METTPU PAINT AND GOLDEN COLOUR COMPLETE JOB,,07-Jul-25,500000,,,,,,,,,
6848,Punjab,,AMRITSAR,,Works Completed.csv,6849,MISSING_OR_BLANK,WS/MP381/2025-2026/184697-Lighting of public spaces,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR CIVIL WORK PROVIDING AND FIXING FANCY LIGHTS POLE 4.5 MT WITH RING M.S TEMP PLATE 3 MM GROBE LIGHT 50 METTPU PAINT AND GOLDEN COLOUR COMPLETE JOB,,07-Jul-25,500000,,,,,,,,,
6849,Punjab,,AMRITSAR,,Works Completed.csv,6850,MISSING_OR_BLANK,WS/MP381/2025-2026/184640-Lighting of public spaces,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR CIVIL WORK PROVIDING AND FIXING FANCY LIGHTS POLE 4.5 MT WITH RING M.S TEMP PLATE 3 MM GROBE LIGHT 50 METTPU PAINT AND GOLDEN COLOUR COMPLETE JOB,,07-Jul-25,500000,,,,,,,,,
6850,Punjab,,AMRITSAR,,Works Completed.csv,6851,MISSING_OR_BLANK,WS/MP381/2025-2026/184632-Lighting of public spaces,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR CIVIL WORK PROVIDING AND FIXING FANCY LIGHTS POLE 4.5 MT WITH RING M S TEMP PLATE 3 MM GROBE LIGHT 50 METTPU PAINT AND GOLDEN COLOUR COMPLETE JOB,,07-Jul-25,500000,,,,,,,,,
6860,Himachal Pradesh,,SHIMLA (SC),,Works Completed.csv,6861,MISSING_OR_BLANK,WS/MP598/2024-2025/145393-Development of playfields and sports grounds,,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Suresh Kumar Kashyap,,,,,,,,,Normal/Others,C/o  Thouda Ground Devthi dhar GP Damyana Executive Agency BDO Theog,,12-Dec-25,500000,,,,,,,,,
6861,Rajasthan,,SIKAR,,Works Completed.csv,6862,MISSING_OR_BLANK,"WS/MP18170/2024-2025/164680-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,,,,,,,,,Normal/Others,Drain and block construction work from Navrang house to main square Sihot Choti,,11-Dec-25,630539,,,,,,,,,
6865,Karnataka,,BANGALORE CENTRAL,,Works Completed.csv,6866,MISSING_OR_BLANK,"WS/MP863/2024-2025/143487-Purchase of IT systems, including hardware and software for educational purposes",,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),P C Mohan,,,,,,,,,Normal/Others,"Installation of 15 Nos. Dell Optiplex 7400 A10 12th Gen Core i7-12700T/16GB/512GB SSD + 1TB/WIN 10 Pro/FHD 24''/3 years on-site warranty, 02 Nos. Dell Optiplex 3280 A10 10th Gen Intel Core i5-10500T/8GB/1TB/22'' FHD/WIN 10 Pro/3 years on-site warranty, 03 Nos. Dell Optiplex 5400 A10 12th Gen Intel Core i5-12500T/8GB/256GB SSD + 1TB/WIN 11 Pro/24''/3 years on-site warranty, 02 Nos. Canon Jumbo Xerox Machines, and 02 Nos. Canon Laser Jet Printers 2900B",,09-May-25,4739506,,,,,,,,,
6866,Gujarat,,ANAND,,Works Completed.csv,6867,MISSING_OR_BLANK,"WS/MP579/2024-2025/162826-Construction of roads, link roads, pathways or any other road with or without drainage system",,ANAND(District Collector ANAND_IDA),Mitesh Rameshbhai Bakabhai Patel,,,,,,,,,Normal/Others,Tarpura Charvigha Vistarma Abhabhai Bhagwanbhai Vaghari Na Ghar thi Sumitraben Vinubhai Vaghari Na Ghar Sudhi C.C Road Nu kam,,09-Jul-25,242295,,,,,,,,,
6867,Gujarat,,ANAND,,Works Completed.csv,6868,MISSING_OR_BLANK,"WS/MP579/2024-2025/162825-Construction of roads, link roads, pathways or any other road with or without drainage system",,ANAND(District Collector ANAND_IDA),Mitesh Rameshbhai Bakabhai Patel,,,,,,,,,Normal/Others,Bhathiji Mandir Vala ( Baradwalu Falioya) Vistarma Block Paving NU Kam,,09-Jul-25,300000,,,,,,,,,
6869,Gujarat,,ANAND,,Works Completed.csv,6870,MISSING_OR_BLANK,"WS/MP579/2024-2025/162824-Construction of roads, link roads, pathways or any other road with or without drainage system",,ANAND(District Collector ANAND_IDA),Mitesh Rameshbhai Bakabhai Patel,,,,,,,,,Normal/Others,Bechari na Chvada wada Nar thi Solanki Mafatbhai Kuberbhai Na Ghar sudhi C.C. Road Nu Kam,,09-Jul-25,448073,,,,,,,,,
6870,Gujarat,,ANAND,,Works Completed.csv,6871,MISSING_OR_BLANK,"WS/MP579/2024-2025/162821-Construction of roads, link roads, pathways or any other road with or without drainage system",,ANAND(District Collector ANAND_IDA),Mitesh Rameshbhai Bakabhai Patel,,,,,,,,,Normal/Others,Vansol game Shree C.A. Patel High School ma Block tatha Rabari vasma Block paving Nu Kam,,09-Jul-25,325581,,,,,,,,,
6879,Gujarat,,BARDOLI(ST),,Works Completed.csv,6880,MISSING_OR_BLANK,WS/MP582/2024-2025/141923-Lighting of public spaces,,SURAT(DISTRICT COLLECTOR SURAT_IDA),Prabhubhai Nagarbhai Vasava,,,,,,,,,Normal/Others,"the following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Gundikuva village Near Bhathiji mandir Taluka Umarpada, District Surat",,02-Jul-25,191850,,,,,,,,,
6882,Punjab,,AMRITSAR,,Works Completed.csv,6883,MISSING_OR_BLANK,WS/MP381/2025-2026/184621-Construction of road under bridge,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR CONSTRUCTION OF BRICK WALLS,,23-Jun-25,500000,,,,,,,,,
6883,Punjab,,AMRITSAR,,Works Completed.csv,6884,MISSING_OR_BLANK,WS/MP381/2025-2026/184594-Installation of multi-gym equipment,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,"FOR GYM EQUIPMENT, SHED, LIGHTING AND DUSTBINS",,08-Jan-26,483975,,,,,,,,,
6884,Bihar,,KISHANGANJ,,Works Completed.csv,6885,MISSING_OR_BLANK,WS/	 MP319/2024-2025/146130-Lighting of public spaces,,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),Dr Mohammad Jawed,,,,,,,,,Normal/Others,DAGARUWA PRAKHAND ANTARGART DAGAURWA PANCHAYAT KE BERIYAR KE ME (12 METER) HIGH MAST LIGHT,,10-May-25,635000,,,,,,,,,
6885,Bihar,,KISHANGANJ,,Works Completed.csv,6886,MISSING_OR_BLANK,WS/	 MP319/2024-2025/146129-Lighting of public spaces,,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),Dr Mohammad Jawed,,,,,,,,,Normal/Others,DAGARUWA PRAKHAND ANTARGART DAGARUWA BANAT CHOWK ME (12 METER) HIGH MAST LIGHT,,10-May-25,635000,,,,,,,,,
6886,Bihar,,KISHANGANJ,,Works Completed.csv,6887,MISSING_OR_BLANK,WS/	 MP319/2024-2025/146127-Lighting of public spaces,,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),Dr Mohammad Jawed,,,,,,,,,Normal/Others,DAGARUWA PRAKHAND ANTARGART KOHILA PANCHAYAT KE PANCHAYAT BHAWAN KE PASS (12 METER) HIGH MAST LIGHT,,10-May-25,635000,,,,,,,,,
6887,Bihar,,KISHANGANJ,,Works Completed.csv,6888,MISSING_OR_BLANK,WS/	 MP319/2024-2025/146131-Lighting of public spaces,,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),Dr Mohammad Jawed,,,,,,,,,Normal/Others,DAGARUWA PRAKHAND ANTARGART HARKHELI PANCHAYAT KE LAL BALU CHOWK ME (12 METER) HIGH MAST LIGHT,,10-May-25,635000,,,,,,,,,
6888,Bihar,,KISHANGANJ,,Works Completed.csv,6889,MISSING_OR_BLANK,WS/	 MP319/2024-2025/146139-Lighting of public spaces,,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),Dr Mohammad Jawed,,,,,,,,,Normal/Others,BAISI PRAKHAND ANTARGART CHOPRA PANCHAYAT KE CHOPRA PANCHAYAT BHAWAN MASJID AND MADARSA KE NIKAT ME (12 METER) HIGH MAST LIGHT,,10-May-25,635000,,,,,,,,,
6889,Bihar,,KISHANGANJ,,Works Completed.csv,6890,MISSING_OR_BLANK,WS/	 MP319/2024-2025/146141-Lighting of public spaces,,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),Dr Mohammad Jawed,,,,,,,,,Normal/Others,BAISI PRAKHAND ANTARGART BANGAON PANCHAYAT KE BANGAMA CHOWK ME (12 METER) HIGH MAST LIGHT,,10-May-25,635000,,,,,,,,,
6890,Bihar,,KISHANGANJ,,Works Completed.csv,6891,MISSING_OR_BLANK,WS/	 MP319/2024-2025/146142-Lighting of public spaces,,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),Dr Mohammad Jawed,,,,,,,,,Normal/Others,BAISI PRAKHAND ANTARGART KHAPRA PANCHAYAT KE CHONI HARIYA CHOWK ME (12 METER) HIGH MAST LIGHT,,10-May-25,635000,,,,,,,,,
6891,Bihar,,KISHANGANJ,,Works Completed.csv,6892,MISSING_OR_BLANK,WS/	 MP319/2024-2025/146143-Lighting of public spaces,,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),Dr Mohammad Jawed,,,,,,,,,Normal/Others,BAISI PRAKHAND ANTARGART MALHARIA PANCHAYAT KE SAKARBALIYA HAAT ME (12 METER) HIGH MAST LIGHT,,10-May-25,635000,,,,,,,,,
6897,Punjab,,AMRITSAR,,Works Completed.csv,6898,MISSING_OR_BLANK,WS/MP381/2025-2026/184156-Installation of fixed garden gym equipment,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR DEVELOPMENT OF PARK OPEN GYM,,07-Jul-25,300000,,,,,,,,,
6898,Punjab,,AMRITSAR,,Works Completed.csv,6899,MISSING_OR_BLANK,WS/MP381/2025-2026/184140-Installation of fixed garden gym equipment,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Repair and Renovation,FOR EXTENSION AND REPAIR OF GYM,,08-Jan-26,200000,,,,,,,,,
6899,Punjab,,AMRITSAR,,Works Completed.csv,6900,MISSING_OR_BLANK,WS/MP381/2025-2026/184133-Construction of rooms and halls in school and colleges,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR CONSTRUCTION OF MULTIPURPOSE HALL,,08-Jan-26,500000,,,,,,,,,
6900,Punjab,,AMRITSAR,,Works Completed.csv,6901,MISSING_OR_BLANK,WS/MP381/2025-2026/184087-Construction of buildings for community cultural activities,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Repair and Renovation,FOR SPECIAL REPAIR AND RENNOVATION,,07-Jul-25,500000,,,,,,,,,
6901,Punjab,,AMRITSAR,,Works Completed.csv,6902,MISSING_OR_BLANK,WS/MP381/2025-2026/184097-Installation of fixed garden gym equipment,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,"FOR GYM EQUIPMENT SHED, LIGHTING AND DUSTBINS",,23-Jun-25,500000,,,,,,,,,
6910,Gujarat,,AMRELI,,Works Completed.csv,6911,MISSING_OR_BLANK,"WS/MP18324/2024-2025/162970-Construction of roads, link roads, pathways or any other road with or without drainage system",,AMRELI(DISTRICT COLLECTOR AMRELI_IDA),BHARATBHAI MANUBHAI SUTARIYA,,,,,,,,,Normal/Others,Paver block work from Main Road to Jayantibhai Savaliya house in Ningalal-2 village,,07-Aug-25,300000,,,,,,,,,
6917,Telangana,,NIZAMABAD,,Works Completed.csv,6918,MISSING_OR_BLANK,WS/MP761/2025-2026/171261-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,"Construction of Youth building near SC Community Hall, Ward no.3, Shakkar Nagar, Bodhan Town",,12-May-25,400000,,,,,,,,,
6918,Telangana,,NIZAMABAD,,Works Completed.csv,6919,MISSING_OR_BLANK,"WS/MP761/2024-2025/138997-Construction of roads, link roads, pathways or any other road with or without drainage system",,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Laying of CC road from 11-1-1209 to 11-1-1215 near TV tower in Panchayath Raj Colony,,12-May-25,494497,,,,,,,,,
6920,Punjab,,LUDHIANA,,Works Completed.csv,6921,MISSING_OR_BLANK,WS/MP18157/2025-2026/181306-Purchase of mobile water tankers,,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),AMRINDER SINGH RAJA WARRING,,,,,,,,,Normal/Others,"Provisioning of 5000Lt Water tank with fire extinguisher at Village Warring, Constituency Sri Muktsar sahib, Distt. Sri Muktsar Sahib",,12-Jun-25,250000,,,,,,,,,
6925,Telangana,,CHELVELLA,,Works Completed.csv,6926,MISSING_OR_BLANK,"WS/MP18188/2025-2026/154673-Construction of roads, link roads, pathways or any other road with or without drainage system",,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,,,,,,,,,Normal/Others,Laying of CC Road from Talari Pedda Narsimulu House to Dulla Sayamma House at Neelapally Village of Basheerabad Mandal,,12-May-25,199691,,,,,,,,,
6926,Telangana,,BHONGIR,,Works Completed.csv,6927,MISSING_OR_BLANK,WS/MP18338/2025-2026/151978-Street lights,,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),CHAMALA KIRAN KUMAR REDDY,,,,,,,,,Normal/Others,PROVIDING OF STREET LIGHTS AT MUTTIREDDYGUDEM H/O IN CHADA VILLAGE,,12-May-25,99855,,,,,,,,,
6927,Telangana,,BHONGIR,,Works Completed.csv,6928,MISSING_OR_BLANK,WS/MP18338/2025-2026/151958-Street lights,,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),CHAMALA KIRAN KUMAR REDDY,,,,,,,,,Normal/Others,PROVIDING OF STREET LIGHTS IN MATOOR VILLAGE,,12-May-25,99855,,,,,,,,,
6928,Telangana,,BHONGIR,,Works Completed.csv,6929,MISSING_OR_BLANK,WS/MP18338/2025-2026/151976-Street lights,,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),CHAMALA KIRAN KUMAR REDDY,,,,,,,,,Normal/Others,PROVIDING OF STREET LIGHTS AT KADIRENIGUDEM H/O CHADA VILLAGE,,12-May-25,99855,,,,,,,,,
6929,Telangana,,BHONGIR,,Works Completed.csv,6930,MISSING_OR_BLANK,WS/MP18338/2025-2026/151954-Street lights,,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),CHAMALA KIRAN KUMAR REDDY,,,,,,,,,Normal/Others,PROVIDING OF STREET LIGHTS IN CHADA VILLAGE,,12-May-25,99855,,,,,,,,,
6930,Telangana,,BHONGIR,,Works Completed.csv,6931,MISSING_OR_BLANK,WS/MP18338/2025-2026/151948-Street lights,,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),CHAMALA KIRAN KUMAR REDDY,,,,,,,,,Normal/Others,providing of street lights at teryala village,,12-May-25,99855,,,,,,,,,
6931,Telangana,,BHONGIR,,Works Completed.csv,6932,MISSING_OR_BLANK,WS/MP18338/2025-2026/151955-Street lights,,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),CHAMALA KIRAN KUMAR REDDY,,,,,,,,,Normal/Others,PROVIDING OF STREET LIGHTS IN DILAWAPUR VILLAGE,,12-May-25,99855,,,,,,,,,
6933,Telangana,,BHONGIR,,Works Completed.csv,6934,MISSING_OR_BLANK,WS/MP18338/2025-2026/151979-Street lights,,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),CHAMALA KIRAN KUMAR REDDY,,,,,,,,,Normal/Others,PROVIDING OF STREET LIGHTS IN THURUPUGUDEM VILLAGE,,12-May-25,99855,,,,,,,,,
6935,Gujarat,,PATAN,,Works Completed.csv,6936,MISSING_OR_BLANK,WS/MP574/2024-2025/160681-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,,,,,,,,,Normal/Others,HINDU SMASHAN BHUMI - VARAHI  NI FARATE Compound wall WORK,,14-May-25,500000,,,,,,,,,
